beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.12,0.9000000000000006,5783.329217998055,1328.4502954570787,5.375791057465519e-06,-56924579.11301939,0.0,-11761975.984504923,-171130199.00000003,0.0019989013671875,4,10,15589.0,1.0,3407.0,1,95,3,92
0.12,0.9100000000000006,6383.400736154149,1379.2848803818592,4.890234166185399e-06,-7967659.411100738,-3702018.682432433,-5628796.737999307,-3638830.858936043,0.0029773712158203,4,10,15249.0,4.0,3318.0,1,90,20,86
0.12,0.9300000000000006,6737.987763729366,1425.763311645146,4.8462535724766265e-06,-17306865.951687623,-5346544.150684931,-10819296.96941714,-5268597.75809935,0.0029969215393066,4,10,15623.0,2.0,3396.0,1,86,6,83
0.12,0.9900000000000007,7569.727771277511,1603.0823304912738,4.302426460613494e-06,-12274456.26574158,-3247934.9824465173,-10812529.1995086,-3191148.967662656,0.0019984245300292,4,10,18027.0,4.0,3960.0,1,85,27,82
0.13,0.2,0.338501600193165,0.1020620726159657,5.375791057465519e-06,0.9244635193133048,-0.0105263157894739,0.9715578539107952,-0.0101010101010103,0.0019991397857666,4,10,6.0,1.0,0.0,1,4,10,4
0.13,0.25000000000000006,0.2700308624336608,0.1767766952966369,5.69599668392099e-06,0.8879813302217037,0.2173913043478266,0.972758405977584,0.2187500000000002,0.002138614654541,4,10,4.0,1.0,1.0,1,4,5,4
0.13,0.2700000000000001,0.9071475440448852,0.3061862178478972,5.48412420113828e-06,0.7263180686370034,-0.0601226993865031,0.8318397581898296,-0.0575793184488842,0.0009973049163818,4,10,6.0,2.0,0.0,1,4,15,4
0.13,0.2800000000000001,0.3818813079129867,0.0,5.375791057465519e-06,0.9089924160346696,1.0,0.9642592734420872,1.0,0.001997947692871,4,10,7.0,0.0,0.0,1,4,1,4
0.13,0.3100000000000001,0.408248290463863,0.2282177322938192,7.319099214972277e-06,0.872636815920398,-0.0549450549450545,0.9529010037973564,-0.0526315789473683,0.0013394355773925,4,10,6.0,1.0,0.0,1,4,8,4
0.13,0.3200000000000001,0.5590169943749475,0.2041241452319315,8.183235123046447e-06,0.6496350364963503,-0.0434782608695645,0.876928126025599,-0.0416666666666665,0.0019993782043457,4,10,4.0,1.0,0.0,1,4,12,4
0.13,0.34000000000000014,0.4208127057650866,0.0,5.375791057465519e-06,0.782051282051282,1.0,0.9563867723646066,1.0,0.0020017623901367,4,10,6.0,1.0,0.0,1,4,4,4
0.13,0.37000000000000016,1.839950180484968,0.5590169943749475,8.23572240683143e-06,-0.6484387383103503,-0.25,0.0533337217092423,-0.2376237623762376,0.0019991397857666,4,10,3.0,2.0,0.0,1,4,9,4
0.13,0.3900000000000002,0.1443375672974064,0.0,5.375791057465519e-06,0.3118279569892472,1.0,0.9888709587669022,1.0,0.0019972324371337,4,10,1.0,0.0,0.0,1,4,1,4
0.13,0.4300000000000002,1.4754942674688143,0.1767766952966369,5.375791057465519e-06,-12.630434782608695,0.0,0.1829234919269714,0.0,0.0020012855529785,4,10,4.0,0.0,1.0,1,96,1,97
0.13,0.45000000000000023,4.388669122486528,0.82915619758885,5.375791057465519e-06,-29.19288994726995,0.0,-6.03148767873441,0.0,0.002000093460083,4,10,13.0,0.0,3.0,1,98,1,98
0.13,0.48000000000000026,9.05883546599672,2.0077973005261263,5.375791057465519e-06,-119.75490978764174,0.0,-28.07440212577503,0.0,0.001997947692871,4,10,30.0,0.0,7.0,1,99,1,98
0.13,0.5200000000000002,26.855516193139916,6.649718039135193,5.846856790565249e-06,-367.281914893617,-403.2857142857143,-163.30622463750925,-374.33156498673753,0.0029995441436767,4,10,96.0,1.0,25.0,1,99,4,99
0.13,0.5900000000000003,218.2416951455427,58.0294465479955,5.359419490284833e-06,-17417.765714285713,-57469.57777777778,-8078.062124531772,-57316.73049645389,0.0019991397857666,4,10,855.0,1.0,231.0,1,99,7,99
0.13,0.6600000000000004,254.35334674424868,71.1583474840912,5.398729857662697e-06,-172520.66666666666,-248218.74468085103,-22769.962419798358,-248007.6734693879,0.0019981861114501,4,10,1089.0,1.0,308.0,1,99,11,99
0.13,0.6700000000000004,639.1996867828811,176.03698711729115,6.087431572603432e-06,-254300.25102991823,-364743.33716475096,-99806.42258072725,-363240.26984126976,0.0035154819488525,4,10,2659.0,1.0,733.0,1,99,5,99
0.13,0.7000000000000004,356.90220999595954,102.03640077606292,5.635454985969092e-06,-100266.04748889653,-111570.75813953488,-45405.41639746018,-111054.22222222222,0.0049998760223388,4,10,1580.0,1.0,456.0,1,99,8,99
0.13,0.7100000000000004,1106.5435015548794,304.75281992132574,5.375791057465519e-06,-1984248.2365043077,-4552814.829787234,-468478.127974174,-3063892.8144329884,0.0019984245300292,4,10,4599.0,1.0,1253.0,1,99,4,99
0.13,0.7200000000000004,509.5075338828007,146.3367264223168,5.375791057465519e-06,-5079520.222929936,0.0,-133561.3613269735,0.0,0.0029988288879394,4,10,2271.0,0.0,655.0,1,99,1,99
0.13,0.7300000000000004,868.9449481507253,246.2838597702524,5.534385617222081e-06,-626907.2897297298,-763664.7049180327,-289666.0036764706,-762165.3612565452,0.002004861831665,4,10,3789.0,2.0,1070.0,1,99,8,99
0.13,0.7500000000000004,2130.537019059592,565.8126622390135,5.3655589906571904e-06,-2201859.9669982637,-15693865.04255319,-1001382.5072157364,-10561449.515463913,0.0019991397857666,4,10,8271.0,1.0,2101.0,1,99,4,99
0.13,0.7600000000000005,2206.376389203196,587.7755913895484,5.12678402820124e-06,-1749302.2261083168,-755383.3473309609,-1385769.6381212194,-737679.0266903911,0.0019998550415039,4,10,8620.0,2.0,2193.0,1,99,9,99
0.13,0.7700000000000005,2692.529984744831,698.8943351227471,5.438774445999028e-06,-4746617.2506393865,-6394296.636363639,-2177363.851082467,-4262864.090909092,0.0019989013671875,4,10,9964.0,2.0,2418.0,1,99,4,99
0.13,0.8300000000000005,4620.049972673456,1085.415751759051,5.615946085132753e-06,-5080428.90413223,-4039292.785714286,-3684183.7713910695,-4004964.509915014,0.0019989013671875,4,10,12994.0,2.0,2804.0,1,97,8,94
0.13,0.8700000000000006,5214.2241532977205,1218.086990599057,5.375791057465519e-06,-28528501.62188319,0.0,-9288471.661921708,0.0,0.002000093460083,4,10,14515.0,0.0,3160.0,1,96,1,93
0.13,0.8800000000000006,5735.873428657865,1282.6973207528997,5.281943292958356e-06,-7349620.830275119,-9897648.629242824,-4599823.395607595,-9429849.268656716,0.0019998550415039,4,10,14496.0,2.0,3146.0,1,93,13,90
0.13,0.9500000000000006,6735.498599615077,1501.4443150679947,5.375791057465519e-06,-405530291.7332688,-218694226.87368423,-17629639.4347474,-218602183.8484849,0.0019993782043457,4,10,17333.0,1.0,3808.0,1,93,5,90
0.13,0.9800000000000006,7400.142337454283,1551.8822274633685,5.0103773692258815e-06,-3509550.7131651416,-3135363.7599943485,-3171186.083406222,-3097540.412111468,0.0020003318786621,4,14,17196.0,5.0,3763.0,15,82,11,79
0.13,0.9900000000000007,7570.822278931573,1602.8792582932335,5.305575780899792e-06,-20070544.894904826,-13734308.271461718,-11774764.3549036,-13672133.368070956,0.0019996166229248,4,10,18023.0,2.0,3959.0,1,85,5,82
