beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.13,0.4300000000000002,2758.273633543271,568.5078971893589,9.6307197044179e-06,-943.4993491042644,-610.6962620190752,-935.5673717889528,-570.6687925691004,0.0,4,281,5854.0,96.0,1249.0,11,42,6,38
0.13,0.45000000000000023,2444.4792390200414,500.1584228188771,7.235519201141168e-06,-426.2989263757983,-352.92824228728625,-421.0460827833128,-314.25027356893526,0.0,4,379,4786.0,111.0,1002.0,10,45,6,42
0.13,0.48000000000000026,2668.8371882713263,545.8720660557747,7.3973187199156e-06,-610.0436189838223,-521.2059881933875,-602.4885527857018,-439.3997598300336,0.0156219005584716,4,355,5224.0,100.0,1096.0,11,46,7,43
0.13,0.5200000000000002,1442.124196425768,293.1174217215119,3.2428928367404387e-06,-150.11576085922997,-138.30818279941624,-147.7880312239348,-114.6038904502492,0.0,4,374,2142.0,112.0,434.0,12,66,5,61
0.13,0.5900000000000003,2292.1064275028766,465.3325423823269,3.078849275847901e-06,-330.97523644280284,-275.4195101194117,-318.2508335864417,-246.67038665308576,0.0156235694885253,4,424,3977.0,114.0,816.0,13,56,7,52
0.13,0.6600000000000004,1132.4410258743426,231.2235119965096,1.1287437402193628e-06,-188.97565738692492,-90.00637951580693,-117.39608997764466,-76.1829102582842,0.0,4,573,2017.0,168.0,407.0,35,66,5,61
0.13,0.6700000000000004,4055.7227507868433,845.7753038386338,4.432679597260552e-06,-282.8011012819084,-224.64070074367768,-229.97078406718396,-206.45976727623164,0.0,4,1030,10120.0,230.0,2181.0,23,37,18,33
0.13,0.7000000000000004,5144.334578972937,1105.3290893816798,6.175445288952176e-06,-245.2244273429937,-234.68311497643677,-181.24801176990397,-200.44975939109003,0.0,4,1544,14841.0,343.0,3347.0,39,30,31,27
0.13,0.7100000000000004,3972.2940396576887,821.4360393035277,3.198667742155856e-06,-286.6064431748902,-434.4077032751141,-206.82214609285995,-320.29261666238864,0.0156221389770507,4,1122,9336.0,229.0,1987.0,76,45,72,41
0.13,0.7200000000000004,3849.566515098377,801.2154373720799,3.39119850542244e-06,-123.38622783888812,-129.3328236493374,-85.18805328497609,-101.48254651500778,0.0,4,1698,10270.0,371.0,2201.0,46,38,39,35
0.13,0.7300000000000004,4919.830367375485,1049.0154262847298,5.045199033244235e-06,-103.01692336548112,-102.1024736790712,-79.52071222447255,-87.00162748893217,0.0,4,2041,14272.0,430.0,3175.0,46,32,42,29
